№,Секунда ,Микросекунда
1,12,29889
2,12,39997
3,12,50119
4,12,60272
5,12,70401
6,12,80514
7,12,90655
8,12,100761
9,12,110889
10,12,121008
11,12,131116
12,12,141239
13,12,151354
14,12,161456
15,12,171588
16,12,181745
17,12,191903
18,12,202053
19,12,212162
20,12,222358
21,12,232512
22,12,242724
23,12,252912
24,12,263097
25,12,273303
26,12,283506
27,12,293711
28,12,303961
29,12,314172
30,12,324305
31,12,334464
32,12,344668
33,12,354905
34,12,365119
35,12,375356
36,12,385565
37,12,395800
38,12,406011
39,12,416162
40,12,426368
41,12,436538
42,12,446748
43,12,456957
44,12,467166
45,12,477315
46,12,487528
47,12,497698
48,12,507929
49,12,518119
50,12,528279
51,12,538487
52,12,548654
53,12,558894
54,12,569039
55,12,579182
56,12,589379
57,12,599572
58,12,609705
59,12,619928
60,12,630141
61,12,640309
62,12,650487
63,12,660657
64,12,670866
65,12,681107
66,12,691251
67,12,701383
68,12,711515
69,12,721638
70,12,731768
71,12,741900
72,12,751996
73,12,762129
74,12,772236
75,12,782369
76,12,792505
77,12,802637
78,12,812769
79,12,822923
80,12,833056
81,12,843188
82,12,853388
83,12,863596
84,12,873808
85,12,883974
86,12,894108
87,12,904259
88,12,914472
89,12,924661
90,12,934872
91,12,945082
92,12,955292
93,12,965529
94,12,975686
95,12,985891
96,12,996011
97,13,6114
98,13,16217
99,13,26365
100,13,36490
101,13,46681
102,13,56835
103,13,67036
104,13,77241
105,13,87455
106,13,97670
107,13,107957
108,13,118143
109,13,128297
110,13,138507
111,13,148635
112,13,158739
113,13,168843
114,13,178964
115,13,189070
116,13,199169
117,13,209315
118,13,219458
119,13,229666
120,13,239869
121,13,250115
122,13,260246
123,13,270511
124,13,280712
125,13,290869
126,13,300988
127,13,311094
128,13,321212
129,13,331337
130,13,341469
131,13,351642
132,13,361808
133,13,371947
134,13,382099
135,13,392229
136,13,402397
137,13,412540
138,13,422681
139,13,432762
140,13,442914
141,13,453060
142,13,463175
143,13,473326
144,13,483441
145,13,493551
146,13,503663
147,13,513789
148,13,523901
149,13,534051
150,13,544200
151,13,554304
152,13,564423
153,13,574538
154,13,584662
155,13,594787
156,13,604893
157,13,614998
158,13,625146
159,13,635275
160,13,645383
161,13,655522
162,13,665714
163,13,675933
164,13,686073
165,13,696204
166,13,706357
167,13,716512
168,13,726726
169,13,736934
170,13,747130
171,13,757266
172,13,767411
173,13,777546
174,13,787679
175,13,797801
176,13,808095
177,13,818249
178,13,828365
179,13,838568
180,13,848713
181,13,858857
182,13,869010
183,13,879158
184,13,889300
185,13,899443
186,13,909596
187,13,919716
188,13,929854
189,13,940037
190,13,950133
191,13,960246
192,13,970422
193,13,980556
194,13,990679
195,14,836
196,14,11040
197,14,21249
198,14,31354
199,14,41469
200,14,51584
201,14,61716
202,14,71850
203,14,81998
204,14,92104
205,14,102236
206,14,112375
207,14,122502
208,14,132618
209,14,142751
210,14,152859
211,14,162992
212,14,173125
213,14,183273
214,14,193401
215,14,203527
216,14,213649
217,14,223778
218,14,233911
219,14,244048
220,14,254231
221,14,264363
222,14,274495
223,14,284639
224,14,294756
225,14,304874
226,14,315034
227,14,325181
228,14,335293
229,14,345410
230,14,355513
231,14,365611
232,14,375786
233,14,385993
234,14,396127
235,14,406231
236,14,416362
237,14,426524
238,14,436647
239,14,446771
240,14,456963
241,14,467188
242,14,477317
243,14,487426
244,14,497556
245,14,507747
246,14,517902
247,14,528081
248,14,538241
249,14,548361
250,14,558538
251,14,568680
252,14,578823
253,14,589004
254,14,599120
255,14,609281
256,14,619435
257,14,629604
258,14,639802
259,14,649928
260,14,660060
261,14,670175
262,14,680326
263,14,690553
264,14,700698
265,14,710803
266,14,720918
267,14,731034
268,14,741234
269,14,751412
270,14,761534
271,14,771642
272,14,781797
273,14,792006
274,14,802153
275,14,812251
276,14,822361
277,14,832546
278,14,842688
279,14,852806
280,14,862948
281,14,873126
282,14,883294
283,14,893421
284,14,903547
285,14,913722
286,14,923932
287,14,934090
288,14,944212
289,14,954350
290,14,964518
291,14,974617
292,14,984749
293,14,994858
294,15,4994
295,15,15116
296,15,25273
297,15,35387
298,15,45506
299,15,55649
300,15,65799
